ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   25
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0    1  IFO068      COPY MEMBER IFCMACS NOT FOUND IN LIBRARY
    37  IFO078      UNDEFINED OP CODE
    38  IFO078      UNDEFINED OP CODE
    39  IFO078      UNDEFINED OP CODE
    40  IFO078      UNDEFINED OP CODE
    41  IFO078      UNDEFINED OP CODE
    42  IFO078      UNDEFINED OP CODE
    43  IFO078      UNDEFINED OP CODE
    44  IFO078      UNDEFINED OP CODE
    45  IFO078      UNDEFINED OP CODE
    46  IFO078      UNDEFINED OP CODE
    47  IFO078      UNDEFINED OP CODE
    48  IFO078      UNDEFINED OP CODE
    49  IFO078      UNDEFINED OP CODE
    50  IFO078      UNDEFINED OP CODE
    51  IFO078      UNDEFINED OP CODE
    52  IFO078      UNDEFINED OP CODE
    53  IFO078      UNDEFINED OP CODE
    54  IFO078      UNDEFINED OP CODE
    55  IFO078      UNDEFINED OP CODE
    56  IFO078      UNDEFINED OP CODE
    57  IFO078      UNDEFINED OP CODE
    58  IFO078      UNDEFINED OP CODE
    59  IFO078      UNDEFINED OP CODE
   269  IFO188      LABELS IS AN UNDEFINED SYMBOL
   277  IFO078      UNDEFINED OP CODE
   278  IFO078      UNDEFINED OP CODE
   279  IFO078      UNDEFINED OP CODE
   280  IFO078      UNDEFINED OP CODE
   281  IFO078      UNDEFINED OP CODE
   282  IFO078      UNDEFINED OP CODE
   283  IFO078      UNDEFINED OP CODE
   284  IFO078      UNDEFINED OP CODE
   285  IFO078      UNDEFINED OP CODE
   291  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   292  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   293  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   294  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   295  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   295  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   296  IFO197      *** MNOTE ***
   296  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   298  IFO078      UNDEFINED OP CODE
   304  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   305  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   306  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   307  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   308  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   308  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   309  IFO197      *** MNOTE ***
   309  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   311  IFO078      UNDEFINED OP CODE
   312  IFO078      UNDEFINED OP CODE
   313  IFO078      UNDEFINED OP CODE
   314  IFO078      UNDEFINED OP CODE
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   26
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0  315  IFO078      UNDEFINED OP CODE
   316  IFO078      UNDEFINED OP CODE
   317  IFO078      UNDEFINED OP CODE
   318  IFO078      UNDEFINED OP CODE
   319  IFO078      UNDEFINED OP CODE
   325  IFO197      *** MNOTE ***
   327  IFO078      UNDEFINED OP CODE
   328  IFO078      UNDEFINED OP CODE
   329  IFO078      UNDEFINED OP CODE
   330  IFO078      UNDEFINED OP CODE
   331  IFO078      UNDEFINED OP CODE
   332  IFO078      UNDEFINED OP CODE
